prev_indices,next_indices,syllables,rhyme_id
1438 3330 4870 5606 1425 4962 2179 2264 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5372 4368 5606 267 737 4975 2509 3731 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,43
5372 4368 5606 267 737 4975 2509 3731 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4027 3971 178 4962 3476 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,44
4027 3971 178 4962 3476 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1359 4460 2916 3330 2396 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6,45
1359 4460 2916 3330 2396 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4765 4962 5367 1814 5076 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,28
4765 4962 5367 1814 5076 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1878 2375 2853 2810 5175 603 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,46
1878 2375 2853 2810 5175 603 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,552 90 690 2810 1878 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6,46
552 90 690 2810 1878 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5405 2026 5177 2498 5041 2498 178 1662 1425 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,34
5405 2026 5177 2498 5041 2498 178 1662 1425 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5452 4998 895 1903 2491 3614 4483 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,47
5452 4998 895 1903 2491 3614 4483 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4831 4998 2798 2491 4520 334 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,48
4831 4998 2798 2491 4520 334 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,178 4984 1078 2375 436 1826 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,49
178 4984 1078 2375 436 1826 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2375 1409 3418 4962 545 2420 2297 946 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,50
2375 1409 3418 4962 545 2420 2297 946 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5082 1681 5523 213 4369 12 2840 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,51
5082 1681 5523 213 4369 12 2840 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2766 2943 4962 907 2498 4867 90 5327 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,52
2766 2943 4962 907 2498 4867 90 5327 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5570 5383 3349 4962 5365 2810 2244 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,53
5570 5383 3349 4962 5365 2810 2244 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3186 942 4611 5261 4962 3570 4959 2852 1384 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,54
3186 942 4611 5261 4962 3570 4959 2852 1384 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5452 2519 5383 286 5479 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,55
5452 2519 5383 286 5479 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2375 4186 4962 5332 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5,32
2375 4186 4962 5332 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3186 2294 4957 1342 1343 5383 178 2420 3733 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5,55
3186 2294 4957 1342 1343 5383 178 2420 3733 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5334 445 4962 1987 3186 3074 2403 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,56
5334 445 4962 1987 3186 3074 2403 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4962 3428 2491 1554 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,57
4962 3428 2491 1554 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2392 4962 577 2498 4868 1822 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5,58
2392 4962 577 2498 4868 1822 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2498 4667 213 1555 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13,59
2498 4667 213 1555 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4962 3358 4398 2766 2491 5064 1779 5511 5303 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5,34
4962 3358 4398 2766 2491 5064 1779 5511 5303 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2916 3186 1615 2598 5064 2931 3186 1568 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,60
2916 3186 1615 2598 5064 2931 3186 1568 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4012 1414 2988 2375 775 2931 90 1346 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,61
4012 1414 2988 2375 775 2931 90 1346 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2798 3374 1268 258 4396 1830 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,13,62
2798 3374 1268 258 4396 1830 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,158 3269 5402 267 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,63
158 3269 5402 267 2498 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5606 775 3641 4962 5541 213 4907 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5,34
5606 775 3641 4962 5541 213 4907 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2501 1946 5452 3498 3895 4962 2196 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12,63
2501 1946 5452 3498 3895 4962 2196 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4962 2650 3330 5169 775 3241 3398 90 2796 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,10,64
4962 2650 3330 5169 775 3241 3398 90 2796 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4976 1030 1814 5614 2648 737 4962 5017 4819 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12,32
4976 1030 1814 5614 2648 737 4962 5017 4819 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4867 12 1257 3374 176 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,65
4867 12 1257 3374 176 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1525 5402 2498 5383 5549 4962 4821 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6,66
1525 5402 2498 5383 5549 4962 4821 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2382 1078 178 4984 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,9,67
4962 1329 4889 3349 4364 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2193 5175 1958 5064 2673 5579 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,68
2193 5175 1958 5064 2673 5579 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4962 4040 5048 5064 1801 5579 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4,69
4962 4040 5048 5064 1801 5579 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2378 2869 4149 213 3186 4533 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6,69
2378 2869 4149 213 3186 4533 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2501 178 2847 1397 5041 5606 2856 297 4962 577 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,70
2501 178 2847 1397 5041 5606 2856 297 4962 577 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4488 2377 3241 4253 145 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,14,71
4488 2377 3241 4253 145 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,3241 413 90 5405 145 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,72
3241 413 90 5405 145 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,958 3394 5614 978 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,72
958 3394 5614 978 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4962 3352 5606 2620 5614 1306 2420 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6,73
4962 3352 5606 2620 5614 1306 2420 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2169 1814 2994 5064 646 145 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,74
2169 1814 2994 5064 646 145 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2379 520 5614 2194 3285 5614 2207 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,7,72
2379 520 5614 2194 3285 5614 2207 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5041 5405 3008 145 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6,75
5041 5405 3008 145 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1510 2375 1122 436 3352 3330 4965 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5,72
1510 2375 1122 436 3352 3330 4965 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,2846 5261 213 3241 1958 5064 4253 4962 4795 145 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,8,76
2846 5261 213 3241 1958 5064 4253 4962 4795 145 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,720 698 2375 2620 4124 2420 89 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,12,72
